"Total","Confirmed","Discharged","Isolated","Deceased","Being_tested","Tested_negative","Date"
1,1,0,1,0,0,0,2020-01-20
11,1,0,1,0,3,7,2020-01-21
27,2,0,2,0,0,25,2020-01-24
51,3,0,3,0,1,47,2020-01-26
187,4,0,4,0,28,155,2020-01-29
251,11,0,11,0,41,199,2020-01-30
371,12,0,12,0,70,289,2020-02-01
429,15,0,15,0,87,327,2020-02-02
607,16,0,16,0,129,462,2020-02-04
714,18,0,18,0,174,522,2020-02-05
885,23,0,23,0,169,693,2020-02-06
1130,24,0,24,0,264,842,2020-02-07
1701,24,2,22,0,620,1057,2020-02-08
1701,24,2,22,0,620,1057,2020-02-09
2776,27,3,24,0,809,1940,2020-02-10
4325,28,4,24,0,762,3535,2020-02-11
5074,28,4,24,0,992,4054,2020-02-12
5797,28,7,21,0,670,5099,2020-02-13
6854,28,7,21,0,692,6134,2020-02-14
6854,28,7,21,0,692,6134,2020-02-15
7919,29,9,20,0,577,7313,2020-02-16
7919,29,9,20,0,577,7313,2020-02-17
9265,31,10,21,0,957,8277,2020-02-18
9265,31,10,21,0,957,8277,2020-02-19
12161,82,16,66,0,1633,10446,2020-02-20
14816,156,16,139,1,2707,11953,2020-02-21
19621,346,17,327,2,5481,13794,2020-02-22
22633,556,18,534,4,6039,16038,2020-02-23
28615,763,18,738,7,8725,19127,2020-02-24
36716,893,22,863,8,13273,22550,2020-02-25
46127,1146,22,1113,11,16734,28247,2020-02-26
57990,1595,24,1559,12,21097,35298,2020-02-27
70940,2022,26,1983,13,24751,44167,2020-02-28
85693,2931,27,2888,16,29154,53608,2020-02-29
96985,3526,30,3479,17,32422,61037,2020-03-01
109591,4212,31,4159,22,33799,71580,2020-03-02
125851,4812,34,4750,28,35555,85484,2020-03-03
136707,5328,41,5255,32,28414,102965,2020-03-04
146541,5766,88,5643,35,21810,118965,2020-03-05
164740,6284,108,6134,42,21832,136624,2020-03-06
178189,6767,118,6605,44,19620,151802,2020-03-07
188518,7134,130,6954,50,19376,162008,2020-03-08
202669,7382,166,7165,51,18771,176516,2020-03-09
210144,7513,247,7212,54,18452,184179,2020-03-10
227039,7755,288,7407,60,17959,201325,2020-03-11
234998,7869,333,7470,66,17727,209402,2020-03-12
248349,7979,510,7402,67,17680,222690,2020-03-13
261335,8086,714,7300,72,17634,235615,2020-03-14
269310,8162,834,7253,75,17335,243813,2020-03-15
276655,8232,1137,7020,75,17059,251364,2020-03-16
285889,8320,1401,6838,81,16712,260857,2020-03-17
295647,8413,1540,6789,84,16346,270888,2020-03-18
307024,8565,1947,6527,91,15904,282555,2020-03-19
316664,8652,2233,6325,94,15525,292487,2020-03-20
327509,8799,2612,6085,102,15704,303006,2020-03-21
331780,8897,2909,5884,104,14540,308343,2020-03-22
338036,8961,3166,5684,111,13628,315447,2020-03-23
348582,9037,3507,5410,120,15440,324105,2020-03-24
357896,9137,3730,5281,126,14278,334481,2020-03-25
364942,9241,4144,4966,131,14369,341332,2020-03-26
376961,9332,4528,4665,139,15219,352410,2020-03-27
387925,9478,4811,4523,144,16564,361883,2020-03-28
394141,9583,5033,4398,152,15028,369530,2020-03-29
395194,9661,5228,4275,158,13531,372002,2020-03-30
410564,9786,5408,4216,162,16892,383886,2020-03-31
421547,9887,5567,4155,165,16585,395075,2020-04-01
431743,9976,5828,3979,169,17885,403882,2020-04-02
443273,10062,6021,3867,174,18908,414303,2020-04-03
455032,10156,6325,3654,177,20144,424732,2020-04-04
461233,10237,6463,3591,183,19571,431425,2020-04-05
466804,10284,6598,3500,186,19295,437225,2020-04-06
477304,10331,6694,3445,192,20650,446323,2020-04-07
486003,10384,6776,3408,200,17858,457761,2020-04-08
494711,10423,6973,3246,204,15509,468779,2020-04-09
503051,10450,7117,3125,208,15298,477303,2020-04-10
510479,10480,7243,3026,211,14070,485929,2020-04-11
514621,10512,7368,2930,214,13788,490321,2020-04-12
518743,10537,7447,2873,217,13391,494815,2020-04-13
527438,10564,7534,2808,222,14651,502223,2020-04-14
534552,10591,7616,2750,225,15026,508935,2020-04-15
538775,10613,7757,2627,229,14268,513894,2020-04-16
546463,10635,7829,2576,230,14186,521642,2020-04-17
554834,10653,7937,2484,232,13550,530631,2020-04-18
559109,10661,8042,2385,234,12243,536205,2020-04-19
563035,10674,8114,2324,236,11981,540380,2020-04-20
571014,10683,8213,2233,237,12721,547610,2020-04-21
577959,10694,8277,2179,238,12121,555144,2020-04-22
583971,10702,8411,2051,240,10139,563130,2020-04-23
589520,10708,8501,1967,240,9600,569212,2020-04-24
595161,10718,8635,1843,240,9259,575184,2020-04-25
598285,10728,8717,1769,242,8999,578558,2020-04-26
601660,10738,8764,1731,243,8895,582027,2020-04-27
608514,10752,8854,1654,244,9203,588559,2020-04-28
614197,10761,8922,1593,246,8307,595129,2020-04-29
619881,10765,9059,1459,247,8634,600482,2020-04-30
623069,10774,9072,1454,248,8685,603610,2020-05-01
627562,10780,9123,1407,250,8496,608286,2020-05-02
630973,10793,9183,1360,250,8588,611592,2020-05-03
633921,10801,9217,1332,252,8176,614944,2020-05-04
640237,10804,9283,1267,254,8858,620575,2020-05-05
643095,10806,9333,1218,255,8009,624280,2020-05-06
649388,10810,9419,1135,256,8429,630149,2020-05-07
654863,10822,9484,1082,256,8867,635174,2020-05-08
660030,10840,9568,1016,256,9153,640037,2020-05-09
663886,10874,9610,1008,256,10128,642884,2020-05-10
668492,10909,9632,1021,256,10922,646661,2020-05-11
